"last_name","frequency"
"Baba","226"
"Coorg","223"
"Gelosh","223"
"Sudbeck","222"
"Farris","222"
"Adachi","221"
"Osgood","220"
"Mandell","218"
"Masada","218"
"Neiman","218"
"Boudaillier","217"
"Wendorf","217"
"Pettis","216"
"Mahnke","216"
"Cummings","216"
"Solares","216"
"Collette","215"
"Birjandi","215"
"Maksimenko","215"
"Emmart","215"
"Kulisch","215"
"Rosaz","214"
"Boguraev","214"
"Scallan","214"
"Pokrovskii","214"
"Wolniewicz","213"
"Stifter","213"
"Morrey","213"
"Siksek","213"
"Rabehasaina","212"
"Swen","212"
"Garrabrants","212"
"Peek","212"
"Pramanik","212"
"Rajcani","212"
"Taubman","212"
"Herber","212"
"Siepmann","212"
"Ghemri","211"
"Gente","211"
"Asser","211"
"Barriga","211"
"Kamber","211"
"Ventosa","211"
"Kitsuregawa","211"
"Cangellaris","211"
"Driscoll","210"
"Bolsens","210"
"Luce","210"
"Redmiles","210"
"Schaaf","210"
"Zuberek","209"
"Gewali","209"
"Chenney","209"
"Flowers","209"
"Gerlach","209"
"Khasidashvili","209"
"Lamparter","209"
"Lunt","209"
"Malabarba","209"
"Serra","209"
"Lowrie","208"
"Cesareni","208"
"Aloia","208"
"Panienski","208"
"Gecsei","208"
"Jenevein","208"
"Akazan","207"
"Garnier","207"
"Lamba","207"
"Angelopoulos","207"
"Bondorf","206"
"Hebert","206"
"Braunmuhl","206"
"Duclos","206"
"Foote","206"
"Perng","206"
"Gaughan","206"
"Chimia","206"
"Matzov","205"
"Marakhovsky","205"
"Lanphier","205"
"Bennet","205"
"Ponthieu","205"
"Garnham","205"
"Ecklund","205"
"Panangaden","205"
"Geffroy","205"
"Encarnacion","205"
"Emden","205"
"Aamodt","205"
"Onuegbe","205"
"DeMori","205"
"Shimshoni","205"
"Siprelle","205"
"Argence","204"
"Malinowski","204"
"Shiratori","204"
"Coors","204"
"Swick","204"
"Alpin","204"
"Legleitner","204"
"Linares","204"
"Riexinger","204"
"Shrader","204"
"Luders","204"
"Whitcomb","204"
"Desikan","204"
"Penttonen","203"
"Champarnaud","203"
